1,2,3,4,5,6,hangeul,trans
ㅇ,ㅏ,ㄴ,ㄴ,ㅕ,ㅇ,안녕,hi/bye
ㅅ,ㅏ,.,ㄱ,ㅗ,ㅏ,사과,apple
ㄷ,ㅏ,ㄴ,ㄱ,ㅡ,ㄴ,단근,carrot
ㅊ,ㅣ,ㄴ,ㄱ,ㅜ,.,친구,friend
ㅇ,ㅗ,.,ㄴ,ㅡ,ㄹ,오늘,today
ㄴ,ㅐ,.,ㅇ,ㅣ,ㄹ,내일,tomorrow
ㅇ,ㅓ,.,ㅈ,ㅔ,.,어제,yesterday
ㅅ,ㅣ,.,ㄱ,ㅏ,ㄴ,시간,time
